idCar;Car;Cylinders;Displacement;Horsepower;Weight;Acceleration;Model;Origin;MPG
56;Mercury Capri 2000;4;122.0;86.00;2220.;14.0;71;US;23.0
57;Opel 1900;4;116.0;90.00;2123.;14.0;71;Europe;28.0
58;Peugeot 304;4;79.00;70.00;2074.;19.5;71;Europe;30.0
59;Fiat 124B;4;88.00;76.00;2065.;14.5;71;Europe;30.0
60;Toyota Corolla 1200;4;71.00;65.00;1773.;19.0;71;Japan;31.0
61;Datsun 1200;4;72.00;69.00;1613.;18.0;71;Japan;35.0
62;Volkswagen Model 111;4;97.00;60.00;1834.;19.0;71;Europe;27.0
63;Plymouth Cricket;4;91.00;70.00;1955.;20.5;71;US;26.0
64;Toyota Corolla Hardtop;4;113.0;95.00;2278.;15.5;72;Japan;24.0
65;Dodge Colt Hardtop;4;97.50;80.00;2126.;17.0;72;US;25.0
66;Volkswagen Type 3;4;97.00;54.00;2254.;23.5;72;Europe;23.0
67;Chevrolet Vega;4;140.0;90.00;2408.;19.5;72;US;20.0
68;Ford Pinto Runabout;4;122.0;86.00;2226.;16.5;72;US;21.0
69;Chevrolet Impala;8;350.0;165.0;4274.;12.0;72;US;13.0
70;Pontiac Catalina;8;400.0;175.0;4385.;12.0;72;US;14.0
71;Plymouth Fury III;8;318.0;150.0;4135.;13.5;72;US;15.0
72;Ford Galaxie 500;8;351.0;153.0;4129.;13.0;72;US;14.0
73;AMC Ambassador SST;8;304.0;150.0;3672.;11.5;72;US;17.0
74;Mercury Marquis;8;429.0;208.0;4633.;11.0;72;US;11.0
75;Buick LeSabre Custom;8;350.0;155.0;4502.;13.5;72;US;13.0
76;Oldsmobile Delta 88 Royale;8;350.0;160.0;4456.;13.5;72;US;12.0
77;Chrysler Newport Royal;8;400.0;190.0;4422.;12.5;72;US;13.0
78;Mazda RX2 Coupe;3;70.00;97.00;2330.;13.5;72;Japan;19.0
79;AMC Matador (sw);8;304.0;150.0;3892.;12.5;72;US;15.0
80;Chevrolet Chevelle Concours (sw);8;307.0;130.0;4098.;14.0;72;US;13.0
81;Ford Gran Torino (sw);8;302.0;140.0;4294.;16.0;72;US;13.0
82;Plymouth Satellite Custom (sw);8;318.0;150.0;4077.;14.0;72;US;14.0
83;Volvo 145e (sw);4;121.0;112.0;2933.;14.5;72;Europe;18.0
84;Volkswagen 411 (sw);4;121.0;76.00;2511.;18.0;72;Europe;22.0
85;Peugeot 504 (sw);4;120.0;87.00;2979.;19.5;72;Europe;21.0
86;Renault 12 (sw);4;96.00;69.00;2189.;18.0;72;Europe;26.0
87;Ford Pinto (sw);4;122.0;86.00;2395.;16.0;72;US;22.0
88;Datsun 510 (sw);4;97.00;92.00;2288.;17.0;72;Japan;28.0
89;Toyota Corolla Mark II (sw);4;120.0;97.00;2506.;14.5;72;Japan;23.0
90;Dodge Colt (sw);4;98.00;80.00;2164.;15.0;72;US;28.0
91;Toyota Corolla 1600 (sw);4;97.00;88.00;2100.;16.5;72;Japan;27.0
92;Buick Century 350;8;350.0;175.0;4100.;13.0;73;US;13.0
93;AMC Matador;8;304.0;150.0;3672.;11.5;73;US;14.0
94;Chevrolet Malibu;8;350.0;145.0;3988.;13.0;73;US;13.0
95;Ford Gran Torino;8;302.0;137.0;4042.;14.5;73;US;14.0
96;Dodge Coronet Custom;8;318.0;150.0;3777.;12.5;73;US;15.0
97;Mercury Marquis Brougham;8;429.0;198.0;4952.;11.5;73;US;12.0
98;Chevrolet Caprice Classic;8;400.0;150.0;4464.;12.0;73;US;13.0
99;Ford LTD;8;351.0;158.0;4363.;13.0;73;US;13.0
100;Plymouth Fury Gran Sedan;8;318.0;150.0;4237.;14.5;73;US;14.0
101;Chrysler New Yorker Brougham;8;440.0;215.0;4735.;11.0;73;US;13.0
102;Buick Electra 225 Custom;8;455.0;225.0;4951.;11.0;73;US;12.0
103;AMC Ambassador Brougham;8;360.0;175.0;3821.;11.0;73;US;13.0
104;Plymouth Valiant;6;225.0;105.0;3121.;16.5;73;US;18.0
105;Chevrolet Nova Custom;6;250.0;100.0;3278.;18.0;73;US;16.0
106;AMC Hornet;6;232.0;100.0;2945.;16.0;73;US;18.0
107;Ford Maverick;6;250.0;88.00;3021.;16.5;73;US;18.0
108;Plymouth Duster;6;198.0;95.00;2904.;16.0;73;US;23.0
109;Volkswagen Super Beetle;4;97.00;46.00;1950.;21.0;73;Europe;26.0
110;Chevrolet Impala;8;400.0;150.0;4997.;14.0;73;US;11.0
111;Ford Country;8;400.0;167.0;4906.;12.5;73;US;12.0
112;Plymouth Custom Suburb;8;360.0;170.0;4654.;13.0;73;US;13.0
113;Oldsmobile Vista Cruiser;8;350.0;180.0;4499.;12.5;73;US;12.0
114;AMC Gremlin;6;232.0;100.0;2789.;15.0;73;US;18.0
115;Toyota Camry;4;97.00;88.00;2279.;19.0;73;Japan;20.0
116;Chevrolet Vega;4;140.0;72.00;2401.;19.5;73;US;21.0
117;Datsun 610;4;108.0;94.00;2379.;16.5;73;Japan;22.0
118;Mazda RX3;3;70.00;90.00;2124.;13.5;73;Japan;18.0
119;Ford Pinto;4;122.0;85.00;2310.;18.5;73;US;19.0
120;Mercury Capri v6;6;155.0;107.0;2472.;14.0;73;US;21.0
121;Fiat 124 Sport Coupe;4;98.00;90.00;2265.;15.5;73;Europe;26.0
122;Chevrolet Monte Carlo S;8;350.0;145.0;4082.;13.0;73;US;15.0
123;Pontiac Grand Prix;8;400.0;230.0;4278.;9.50;73;US;16.0
124;Fiat 128;4;68.00;49.00;1867.;19.5;73;Europe;29.0
125;Opel Manta;4;116.0;75.00;2158.;15.5;73;Europe;24.0
126;Audi 100LS;4;114.0;91.00;2582.;14.0;73;Europe;20.0
127;Volvo 144ea;4;121.0;112.0;2868.;15.5;73;Europe;19.0
128;Dodge Dart Custom;8;318.0;150.0;3399.;11.0;73;US;15.0
129;Saab 99le;4;121.0;110.0;2660.;14.0;73;Europe;24.0
130;Toyota Mark II;6;156.0;122.0;2807.;13.5;73;Japan;20.0
131;Oldsmobile Omega;8;350.0;180.0;3664.;11.0;73;US;11.0
132;Plymouth Duster;6;198.0;95.00;3102.;16.5;74;US;20.0
133;Ford Maverick;6;200.0;0;2875.;17.0;74;US;21.0
134;AMC Hornet;6;232.0;100.0;2901.;16.0;74;US;19.0
135;Chevrolet Nova;6;250.0;100.0;3336.;17.0;74;US;15.0
136;Datsun B210;4;79.00;67.00;1950.;19.0;74;Japan;31.0
137;Ford Pinto;4;122.0;80.00;2451.;16.5;74;US;26.0
138;Toyota Corolla 1200;4;71.00;65.00;1836.;21.0;74;Japan;32.0
139;Chevrolet Vega;4;140.0;75.00;2542.;17.0;74;US;25.0
140;Chevrolet Chevelle Malibu Classic;6;250.0;100.0;3781.;17.0;74;US;16.0
141;AMC Matador;6;258.0;110.0;3632.;18.0;74;US;16.0
142;Plymouth Satellite Sebring;6;225.0;105.0;3613.;16.5;74;US;18.0
143;Ford Gran Torino;8;302.0;140.0;4141.;14.0;74;US;16.0
144;Buick Century Luxus (sw);8;350.0;150.0;4699.;14.5;74;US;13.0
145;Dodge Coronet Custom (sw);8;318.0;150.0;4457.;13.5;74;US;14.0
146;Ford Gran Torino (sw);8;302.0;140.0;4638.;16.0;74;US;14.0
147;AMC Matador (sw);8;304.0;150.0;4257.;15.5;74;US;14.0
148;Audi Fox;4;98.00;83.00;2219.;16.5;74;Europe;29.0
149;Volkswagen Dasher;4;79.00;67.00;1963.;15.5;74;Europe;26.0
150;Opel Manta;4;97.00;78.00;2300.;14.5;74;Europe;26.0
151;Toyota Corolla;4;76.00;52.00;1649.;16.5;74;Japan;31.0
152;Datsun 710;4;83.00;61.00;2003.;19.0;74;Japan;32.0
153;Dodge Colt;4;90.00;75.00;2125.;14.5;74;US;28.0
154;Fiat 128;4;90.00;75.00;2108.;15.5;74;Europe;24.0
155;Fiat 124 TC;4;116.0;75.00;2246.;14.0;74;Europe;26.0
156;Honda Civic;4;120.0;97.00;2489.;15.0;74;Japan;24.0
157;Subaru;4;108.0;93.00;2391.;15.5;74;Japan;26.0
158;Fiat x1.9;4;79.00;67.00;2000.;16.0;74;Europe;31.0
159;Plymouth Valiant Custom;6;225.0;95.00;3264.;16.0;75;US;19.0
160;Chevrolet Nova;6;250.0;105.0;3459.;16.0;75;US;18.0
161;Mercury Monarch;6;250.0;72.00;3432.;21.0;75;US;15.0
162;Ford Maverick;6;250.0;72.00;3158.;19.5;75;US;15.0
163;Pontiac Catalina;8;400.0;170.0;4668.;11.5;75;US;16.0
164;Chevrolet Bel Air;8;350.0;145.0;4440.;14.0;75;US;15.0
165;Plymouth Grand Fury;8;318.0;150.0;4498.;14.5;75;US;16.0
166;Ford LTD;8;351.0;148.0;4657.;13.5;75;US;14.0
167;Buick Century;6;231.0;110.0;3907.;21.0;75;US;17.0
168;Chevrolete Chevelle Malibu;6;250.0;105.0;3897.;18.5;75;US;16.0
169;AMC Matador;6;258.0;110.0;3730.;19.0;75;US;15.0
170;Plymouth Fury;6;225.0;95.00;3785.;19.0;75;US;18.0
171;Buick Skyhawk;6;231.0;110.0;3039.;15.0;75;US;21.0
172;Chevrolet Monza 2+2;8;262.0;110.0;3221.;13.5;75;US;20.0
173;Ford Mustang II;8;302.0;129.0;3169.;12.0;75;US;13.0
174;Toyota Corolla;4;97.00;75.00;2171.;16.0;75;Japan;29.0
175;Ford Pinto;4;140.0;83.00;2639.;17.0;75;US;23.0
176;AMC Gremlin;6;232.0;100.0;2914.;16.0;75;US;20.0
177;Pontiac Astro;4;140.0;78.00;2592.;18.5;75;US;23.0
178;Toyota Corolla;4;134.0;96.00;2702.;13.5;75;Japan;24.0
179;Volkswagen Dasher;4;90.00;71.00;2223.;16.5;75;Europe;25.0
180;Datsun 710;4;119.0;97.00;2545.;17.0;75;Japan;24.0
181;Ford Pinto;6;171.0;97.00;2984.;14.5;75;US;18.0
182;Volkswagen Rabbit;4;90.00;70.00;1937.;14.0;75;Europe;29.0
183;AMC Pacer;6;232.0;90.00;3211.;17.0;75;US;19.0
184;Audi 100LS;4;115.0;95.00;2694.;15.0;75;Europe;23.0
185;Peugeot 504;4;120.0;88.00;2957.;17.0;75;Europe;23.0
186;Volvo 244DL;4;121.0;98.00;2945.;14.5;75;Europe;22.0
187;Saab 99LE;4;121.0;115.0;2671.;13.5;75;Europe;25.0
188;Honda Civic CVCC;4;91.00;53.00;1795.;17.5;75;Japan;33.0
189;Fiat 131;4;107.0;86.00;2464.;15.5;76;Europe;28.0
190;Opel 1900;4;116.0;81.00;2220.;16.9;76;Europe;25.0
191;Capri ii;4;140.0;92.00;2572.;14.9;76;US;25.0
192;Dodge Colt;4;98.00;79.00;2255.;17.7;76;US;26.0
193;Renault 12tl;4;101.0;83.00;2202.;15.3;76;Europe;27.0
194;Chevrolet Chevelle Malibu Classic;8;305.0;140.0;4215.;13.0;76;US;17.5
195;Dodge Coronet Brougham;8;318.0;150.0;4190.;13.0;76;US;16.0
196;AMC Matador;8;304.0;120.0;3962.;13.9;76;US;15.5
197;Ford Gran Torino;8;351.0;152.0;4215.;12.8;76;US;14.5
198;Plymouth Valiant;6;225.0;100.0;3233.;15.4;76;US;22.0
199;Chevrolet Nova;6;250.0;105.0;3353.;14.5;76;US;22.0
200;Ford Maverick;6;200.0;81.00;3012.;17.6;76;US;24.0
201;AMC Hornet;6;232.0;90.00;3085.;17.6;76;US;22.5
202;Chevrolet Chevette;4;85.00;52.00;2035.;22.2;76;US;29.0
203;Chevrolet Woody;4;98.00;60.00;2164.;22.1;76;US;24.5
204;Volkswagen Rabbit;4;90.00;70.00;1937.;14.2;76;Europe;29.0
205;Honda Civic;4;91.00;53.00;1795.;17.4;76;Japan;33.0
206;Dodge Aspen SE;6;225.0;100.0;3651.;17.7;76;US;20.0
207;Ford Grenada ghia;6;250.0;78.00;3574.;21.0;76;US;18.0
208;Pontiac Ventura SJ;6;250.0;110.0;3645.;16.2;76;US;18.5
209;AMC Pacer d/l;6;258.0;95.00;3193.;17.8;76;US;17.5
210;Volkswagen Rabbit;4;97.00;71.00;1825.;12.2;76;Europe;29.5
211;Datsun B-210;4;85.00;70.00;1990.;17.0;76;Japan;32.0
212;Toyota Corolla;4;97.00;75.00;2155.;16.4;76;Japan;28.0
213;Ford Pinto;4;140.0;72.00;2565.;13.6;76;US;26.5
214;Volvo 245;4;130.0;102.0;3150.;15.7;76;Europe;20.0
215;Plymouth Volare Premier v8;8;318.0;150.0;3940.;13.2;76;US;13.0
216;Peugeot 504;4;120.0;88.00;3270.;21.9;76;Europe;19.0
217;Toyota Mark II;6;156.0;108.0;2930.;15.5;76;Japan;19.0
218;Mercedes-Benz 280s;6;168.0;120.0;3820.;16.7;76;Europe;16.5
219;Cadillac Seville;8;350.0;180.0;4380.;12.1;76;US;16.5
220;Chevrolet C10;8;350.0;145.0;4055.;12.0;76;US;13.0
221;Ford F108;8;302.0;130.0;3870.;15.0;76;US;13.0
222;Dodge D100;8;318.0;150.0;3755.;14.0;76;US;13.0
223;Honda Accord CVCC;4;98.00;68.00;2045.;18.5;77;Japan;31.5
224;Buick Opel Isuzu Deluxe;4;111.0;80.00;2155.;14.8;77;US;30.0
225;Renault 5 GTL;4;79.00;58.00;1825.;18.6;77;Europe;36.0
226;Plymouth Arrow GS;4;122.0;96.00;2300.;15.5;77;US;25.5
227;Datsun F-10 Hatchback;4;85.00;70.00;1945.;16.8;77;Japan;33.5
228;Chevrolet Caprice Classic;8;305.0;145.0;3880.;12.5;77;US;17.5
229;Oldsmobile Cutlass Supreme;8;260.0;110.0;4060.;19.0;77;US;17.0
230;Dodge Monaco Brougham;8;318.0;145.0;4140.;13.7;77;US;15.5
231;Mercury Cougar Brougham;8;302.0;130.0;4295.;14.9;77;US;15.0
232;Chevrolet Concours;6;250.0;110.0;3520.;16.4;77;US;17.5
233;Buick Skylark;6;231.0;105.0;3425.;16.9;77;US;20.5
234;Plymouth Volare Custom;6;225.0;100.0;3630.;17.7;77;US;19.0
235;Ford Grenada;6;250.0;98.00;3525.;19.0;77;US;18.5
236;Pontiac Grand Prix LJ;8;400.0;180.0;4220.;11.1;77;US;16.0
237;Chevrolet Monte Carlo Landau;8;350.0;170.0;4165.;11.4;77;US;15.5
238;Chrysler Cordoba;8;400.0;190.0;4325.;12.2;77;US;15.5
239;Ford Thunderbird;8;351.0;149.0;4335.;14.5;77;US;16.0
240;Volkswagen Rabbit Custom;4;97.00;78.00;1940.;14.5;77;Europe;29.0
241;Pontiac Sunbird Coupe;4;151.0;88.00;2740.;16.0;77;US;24.5
242;Toyota Corolla Liftback;4;97.00;75.00;2265.;18.2;77;Japan;26.0
243;Ford Mustang II 2+2;4;140.0;89.00;2755.;15.8;77;US;25.5
244;Chevrolet Chevette;4;98.00;63.00;2051.;17.0;77;US;30.5
245;Dodge Colt m/m;4;98.00;83.00;2075.;15.9;77;US;33.5
246;Subaru DL;4;97.00;67.00;1985.;16.4;77;Japan;30.0
247;Volkswagen Dasher;4;97.00;78.00;2190.;14.1;77;Europe;30.5
248;Datsun 810;6;146.0;97.00;2815.;14.5;77;Japan;22.0
249;BMW 320i;4;121.0;110.0;2600.;12.8;77;Europe;21.5
250;Mazda RX-4;3;80.00;110.0;2720.;13.5;77;Japan;21.5
251;Volkswagen Rabbit Custom Diesel;4;90.00;48.00;1985.;21.5;78;Europe;43.1
252;Ford Fiesta;4;98.00;66.00;1800.;14.4;78;US;36.1
253;Mazda GLC Deluxe;4;78.00;52.00;1985.;19.4;78;Japan;32.8
254;Datsun B210 GX;4;85.00;70.00;2070.;18.6;78;Japan;39.4
255;Honda Civic CVCC;4;91.00;60.00;1800.;16.4;78;Japan;36.1
256;Oldsmobile Cutlass Salon Brougham;8;260.0;110.0;3365.;15.5;78;US;19.9
257;Dodge Diplomat;8;318.0;140.0;3735.;13.2;78;US;19.4
258;Mercury Monarch ghia;8;302.0;139.0;3570.;12.8;78;US;20.2
259;Pontiac Phoenix LJ;6;231.0;105.0;3535.;19.2;78;US;19.2
260;Chevrolet Malibu;6;200.0;95.00;3155.;18.2;78;US;20.5
261;Ford Fairmont (auto);6;200.0;85.00;2965.;15.8;78;US;20.2
262;Ford Fairmont (man);4;140.0;88.00;2720.;15.4;78;US;25.1
263;Plymouth Volare;6;225.0;100.0;3430.;17.2;78;US;20.5
264;AMC Concord;6;232.0;90.00;3210.;17.2;78;US;19.4
265;Buick Century Special;6;231.0;105.0;3380.;15.8;78;US;20.6
266;Mercury Zephyr;6;200.0;85.00;3070.;16.7;78;US;20.8
267;Dodge Aspen;6;225.0;110.0;3620.;18.7;78;US;18.6
268;AMC Concord d/l;6;258.0;120.0;3410.;15.1;78;US;18.1
269;Chevrolet Monte Carlo Landau;8;305.0;145.0;3425.;13.2;78;US;19.2
270;Buick Regal Sport Coupe (turbo);6;231.0;165.0;3445.;13.4;78;US;17.7
271;Ford Futura;8;302.0;139.0;3205.;11.2;78;US;18.1
272;Dodge Magnum XE;8;318.0;140.0;4080.;13.7;78;US;17.5
273;Chevrolet Chevette;4;98.00;68.00;2155.;16.5;78;US;30.0
274;Toyota Corolla;4;134.0;95.00;2560.;14.2;78;Japan;27.5
275;Datsun 510;4;119.0;97.00;2300.;14.7;78;Japan;27.2
276;Dodge Omni;4;105.0;75.00;2230.;14.5;78;US;30.9
277;Toyota Celica GT Liftback;4;134.0;95.00;2515.;14.8;78;Japan;21.1
278;Plymouth Sapporo;4;156.0;105.0;2745.;16.7;78;US;23.2
279;Oldsmobile Starfire SX;4;151.0;85.00;2855.;17.6;78;US;23.8
280;Datsun 200-SX;4;119.0;97.00;2405.;14.9;78;Japan;23.9
281;Audi 5000;5;131.0;103.0;2830.;15.9;78;Europe;20.3
282;Volvo 264gl;6;163.0;125.0;3140.;13.6;78;Europe;17.0
283;Saab 99gle;4;121.0;115.0;2795.;15.7;78;Europe;21.6
284;Peugeot 604sl;6;163.0;133.0;3410.;15.8;78;Europe;16.2
285;Volkswagen Scirocco;4;89.00;71.00;1990.;14.9;78;Europe;31.5
286;Honda Accord LX;4;98.00;68.00;2135.;16.6;78;Japan;29.5
287;Pontiac Lemans V6;6;231.0;115.0;3245.;15.4;79;US;21.5
288;Mercury Zephyr 6;6;200.0;85.00;2990.;18.2;79;US;19.8
289;Ford Fairmont 4;4;140.0;88.00;2890.;17.3;79;US;22.3
290;AMC Concord DL 6;6;232.0;90.00;3265.;18.2;79;US;20.2
291;Dodge Aspen 6;6;225.0;110.0;3360.;16.6;79;US;20.6
292;Chevrolet Caprice Classic;8;305.0;130.0;3840.;15.4;79;US;17.0
293;Ford LTD Landau;8;302.0;129.0;3725.;13.4;79;US;17.6
294;Mercury Grand Marquis;8;351.0;138.0;3955.;13.2;79;US;16.5
295;Dodge St. Regis;8;318.0;135.0;3830.;15.2;79;US;18.2
296;Buick Estate Wagon (sw);8;350.0;155.0;4360.;14.9;79;US;16.9
297;Ford Country Squire (sw);8;351.0;142.0;4054.;14.3;79;US;15.5
298;Chevrolet Malibu Classic (sw);8;267.0;125.0;3605.;15.0;79;US;19.2
299;Chrysler Lebaron Town @ Country (sw);8;360.0;150.0;3940.;13.0;79;US;18.5
300;Volkswagen Rabbit Custom;4;89.00;71.00;1925.;14.0;79;Europe;31.9
301;Mazda GLC Deluxe;4;86.00;65.00;1975.;15.2;79;Japan;34.1
302;Dodge Colt Hatchback Custom;4;98.00;80.00;1915.;14.4;79;US;35.7
303;AMC Spirit DL;4;121.0;80.00;2670.;15.0;79;US;27.4
304;Mercedes Benz 300d;5;183.0;77.00;3530.;20.1;79;Europe;25.4
305;Cadillac Eldorado;8;350.0;125.0;3900.;17.4;79;US;23.0
306;Peugeot 504;4;141.0;71.00;3190.;24.8;79;Europe;27.2
307;Oldsmobile Cutlass Salon Brougham;8;260.0;90.00;3420.;22.2;79;US;23.9
308;Plymouth Horizon;4;105.0;70.00;2200.;13.2;79;US;34.2
309;Plymouth Horizon TC3;4;105.0;70.00;2150.;14.9;79;US;34.5
310;Datsun 210;4;85.00;65.00;2020.;19.2;79;Japan;31.8
311;Fiat Strada Custom;4;91.00;69.00;2130.;14.7;79;Europe;37.3
312;Buick Skylark Limited;4;151.0;90.00;2670.;16.0;79;US;28.4
313;Chevrolet Citation;6;173.0;115.0;2595.;11.3;79;US;28.8
314;Oldsmobile Omega Brougham;6;173.0;115.0;2700.;12.9;79;US;26.8
315;Pontiac Phoenix;4;151.0;90.00;2556.;13.2;79;US;33.5
316;Volkswagen Rabbit;4;98.00;76.00;2144.;14.7;80;Europe;41.5
317;Toyota Corolla Tercel;4;89.00;60.00;1968.;18.8;80;Japan;38.1
318;Chevrolet Chevette;4;98.00;70.00;2120.;15.5;80;US;32.1
319;Datsun 310;4;86.00;65.00;2019.;16.4;80;Japan;37.2
320;Chevrolet Citation;4;151.0;90.00;2678.;16.5;80;US;28.0
321;Ford Fairmont;4;140.0;88.00;2870.;18.1;80;US;26.4
322;AMC Concord;4;151.0;90.00;3003.;20.1;80;US;24.3
323;Dodge Aspen;6;225.0;90.00;3381.;18.7;80;US;19.1
324;Audi 4000;4;97.00;78.00;2188.;15.8;80;Europe;34.3
325;Toyota Corolla Liftback;4;134.0;90.00;2711.;15.5;80;Japan;29.8
326;Mazda 626;4;120.0;75.00;2542.;17.5;80;Japan;31.3
327;Datsun 510 Hatchback;4;119.0;92.00;2434.;15.0;80;Japan;37.0
328;Toyota Corolla;4;108.0;75.00;2265.;15.2;80;Japan;32.2
329;Mazda GLC;4;86.00;65.00;2110.;17.9;80;Japan;46.6
330;Dodge Colt;4;156.0;105.0;2800.;14.4;80;US;27.9
331;Datsun 210;4;85.00;65.00;2110.;19.2;80;Japan;40.8
332;Volkswagen Rabbit C (Diesel);4;90.00;48.00;2085.;21.7;80;Europe;44.3
333;Volkswagen Dasher (diesel);4;90.00;48.00;2335.;23.7;80;Europe;43.4
334;Audi 5000s (diesel);5;121.0;67.00;2950.;19.9;80;Europe;36.4
335;Mercedes-Benz 240d;4;146.0;67.00;3250.;21.8;80;Europe;30.0
336;Honda Civic 1500 gl;4;91.00;67.00;1850.;13.8;80;Japan;44.6
337;Renault Lecar Deluxe;4;85.00;0;1835.;17.3;80;Europe;40.9
338;Subaru DL;4;97.00;67.00;2145.;18.0;80;Japan;33.8
339;Volkswagen Rabbit;4;89.00;62.00;1845.;15.3;80;Europe;29.8
340;Datsun 280-ZX;6;168.0;132.0;2910.;11.4;80;Japan;32.7
341;Mazda RX-7 GS;3;70.00;100.0;2420.;12.5;80;Japan;23.7
342;Triumph TR7 Coupe;4;122.0;88.00;2500.;15.1;80;Europe;35.0
343;Ford Mustang Cobra;4;140.0;0;2905.;14.3;80;US;23.6
344;Honda Accord;4;107.0;72.00;2290.;17.0;80;Japan;32.4
345;Plymouth Reliant;4;135.0;84.00;2490.;15.7;81;US;27.2
346;Buick Skylark;4;151.0;84.00;2635.;16.4;81;US;26.6
347;Dodge Aries Wagon (sw);4;156.0;92.00;2620.;14.4;81;US;25.8
348;Chevrolet Citation;6;173.0;110.0;2725.;12.6;81;US;23.5
349;Plymouth Reliant;4;135.0;84.00;2385.;12.9;81;US;30.0
350;Toyota Starlet;4;79.00;58.00;1755.;16.9;81;Japan;39.1
351;Plymouth Champ;4;86.00;64.00;1875.;16.4;81;US;39.0
352;Honda Civic 1300;4;81.00;60.00;1760.;16.1;81;Japan;35.1
